Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery_Cell,BatteryHolder_Keystone_1060_1x2032,190.285,-153.94,90.0,top
C1,100nF,C_0603_1608Metric,215.805,-146.66,-90.0,top
C10,100nF,C_0603_1608Metric,272.55,-155.235,-90.0,top
C11,10uF,C_0603_1608Metric,271.09,-155.24,-90.0,top
C12,1uF,C_0603_1608Metric,184.64,-192.445,0.0,top
C13,1uF,C_0603_1608Metric,186.165,-196.035,0.0,top
C14,1uF,C_0603_1608Metric,184.64,-193.905,0.0,top
C15,1uF,C_0603_1608Metric,194.14,-195.995,180.0,top
C16,100nF,C_0603_1608Metric,186.165,-198.995,0.0,top
C17,1nF,C_0603_1608Metric,248.7207,-196.395,0.0,top
C18,1uF,C_0603_1608Metric,195.64,-193.945,180.0,top
C19,470nF,C_0603_1608Metric,248.7207,-193.845,0.0,top
C2,100nF,C_0603_1608Metric,180.845,-110.51,0.0,top
C20,100nF,C_0603_1608Metric,194.14,-197.495,180.0,top
C21,100nF,C_0603_1608Metric,186.165,-197.495,0.0,top
C22,5pF,C_0603_1608Metric,248.6957,-202.87,180.0,top
C23,1uF,C_0603_1608Metric,195.64,-192.445,180.0,top
C24,100nF,C_0603_1608Metric,130.625,-81.8,0.0,top
C25,100nF,C_0603_1608Metric,155.625,-81.8,0.0,top
C26,100nF,C_0603_1608Metric,190.625,-81.8,0.0,top
C27,100nF,C_0603_1608Metric,215.625,-81.8,0.0,top
C28,100nF,C_0603_1608Metric,238.4707,-200.195,0.0,top
C29,100nF,C_0603_1608Metric,250.625,-81.8,0.0,top
C3,100nF,C_0603_1608Metric,213.595,-143.03,0.0,top
C30,100nF,C_0603_1608Metric,182.44,-179.07,180.0,top
C31,100nF,C_0603_1608Metric,183.79,-170.52,90.0,top
C32,100nF,C_0603_1608Metric,232.6907,-199.445,90.0,top
C33,100nF,C_0603_1608Metric,275.625,-81.8,0.0,top
C34,100nF,C_0603_1608Metric,192.19,-181.97,0.0,top
C35,220nF,C_0603_1608Metric,185.565,-184.22,-90.0,top
C36,220nF,C_0603_1608Metric,183.315,-183.47,0.0,top
C37,10uF,C_0603_1608Metric,192.19,-180.47,0.0,top
C38,100nF,C_0603_1608Metric,185.29,-170.52,90.0,top
C39,2.2nF,C_0603_1608Metric,189.99,-187.195,-90.0,top
C4,100nF,C_0603_1608Metric,213.59,-144.49,0.0,top
C40,2.2nF,C_0603_1608Metric,188.49,-187.195,90.0,top
C41,100nF,C_0603_1608Metric,174.04,-149.71,-90.0,top
C42,100uF/20V,CP_Elec_6.3x7.7,137.96,-194.16,90.0,top
C43,100nF,C_0603_1608Metric,133.68,-196.23,-90.0,top
C44,100nF,C_0603_1608Metric,143.78,-198.62,0.0,top
C45,220uF/16V,CP_Elec_10x10,145.3605,-155.56,180.0,top
C46,10uF,C_0603_1608Metric,155.76,-170.21,90.0,top
C47,330nF,C_0603_1608Metric,149.2605,-161.71,180.0,top
C48,4.7uF/250V,CP_Elec_8x10.5,172.79,-178.37,180.0,top
C49,10uF,C_0603_1608Metric,155.76,-167.235,90.0,top
C5,100nF/50V,C_0603_1608Metric,272.275,-174.685,-90.0,top
C50,100nF/250V,C_1206_3216Metric,176.536462,-184.019121,0.0,top
C51,470uF,CP_Elec_10x10.5,122.7605,-180.96,270.0,top
C52,470uF,CP_Elec_10x10.5,133.7855,-180.935,270.0,top
C53,100nF,C_0603_1608Metric,116.5105,-176.935,90.0,top
C54,100nF,C_0603_1608Metric,287.09545,-185.164872,180.0,top
C55,100nF,C_0603_1608Metric,287.09545,-182.654872,180.0,top
C56,10uF,C_0603_1608Metric,287.09545,-180.144872,180.0,top
C57,18pF,C_0603_1608Metric,295.4,-156.0,-90.0,top
C58,18pF,C_0603_1608Metric,295.4,-164.5,-90.0,top
C59,100nF,C_0603_1608Metric,286.7,-155.3,180.0,top
C6,470nF/6.3V,C_0603_1608Metric,273.735,-174.69,-90.0,top
C60,1uF,C_0603_1608Metric,286.6,-163.7,180.0,top
C61,1uF,C_0603_1608Metric,286.6,-166.6,180.0,top
C7,100nF/50V,C_0603_1608Metric,256.735,-167.815,90.0,top
C8,100nF/50V,C_0603_1608Metric,256.745,-173.305,90.0,top
C9,100nF,C_0603_1608Metric,243.8575,-145.86,0.0,top
D1,BAV103,D_MiniMELF,155.186,-113.9805,90.0,top
D10,BAV103,D_MiniMELF,161.866,-113.9805,90.0,top
D11,BAV103,D_MiniMELF,158.526,-113.9805,90.0,top
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,132.625,-85.4,0.0,top
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,157.625,-85.4,0.0,top
D14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,192.625,-85.4,0.0,top
D15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,217.625,-85.4,0.0,top
D16,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,252.625,-85.4,0.0,top
D17,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,277.625,-85.4,0.0,top
D18,LED,LED_0201_0603Metric,168.175,-165.98,0.0,top
D19,BAT54J,D_SOD-323F,171.275,-164.7325,-90.0,top
D2,BAV103,D_MiniMELF,135.146,-113.9805,90.0,top
D20,1N5821,D_DO-201AD_P12.70mm_Horizontal,273.205,-185.51,0.0,top
D21,LED,LED_0201_0603Metric,154.21,-168.235,0.0,top
D22,ES2F-E3,D_SMB,169.36,-185.16,180.0,top
D23,1N5821,D_DO-201AD_P12.70mm_Horizontal,130.9105,-170.91,0.0,top
D3,BAV103,D_MiniMELF,138.486,-113.9805,90.0,top
D4,BAV103,D_MiniMELF,148.506,-113.9805,90.0,top
D5,BAV103,D_MiniMELF,151.846,-113.9805,90.0,top
D6,1N4764A 100V,D_DO-41_SOD81_P7.62mm_Horizontal,139.006,-120.5305,0.0,top
D7,BAV103,D_MiniMELF,145.166,-113.9805,90.0,top
D8,BAV103,D_MiniMELF,141.826,-113.9805,90.0,top
D9,BAV103,D_MiniMELF,165.206,-113.9805,90.0,top
H1,MountingHole_Pad,MountingHole_3.2mm_M3_Pad_Via,118.575,-67.75,0.0,top
H2,MountingHole_Pad,MountingHole_3.2mm_M3_Pad_Via,118.555,-129.7,0.0,top
H3,MountingHole_Pad,MountingHole_3.2mm_M3_Pad_Via,291.695,-67.75,0.0,top
H4,MountingHole_Pad,MountingHole_3.2mm_M3_Pad_Via,291.675,-129.7,0.0,top
H5,MountingHole_Pad,MountingHole_3.2mm_M3_Pad_Via,118.525,-140.7,0.0,top
H6,MountingHole_Pad,MountingHole_3.2mm_M3_Pad_Via,118.505,-202.65,0.0,top
H7,MountingHole_Pad,MountingHole_3.2mm_M3_Pad_Via,291.645,-140.7,0.0,top
H8,MountingHole_Pad,MountingHole_3.2mm_M3_Pad_Via,291.625,-202.65,0.0,top
J1,Conn_02x13_Odd_Even,PinHeader_2x13_P2.54mm_Vertical,217.505,-189.22,90.0,top
J2,Micro_SD_Card_Det1,microSD_HC_Hirose_DM3AT-SF-PEJM5,270.395,-144.58,180.0,top
J3,Conn_02x13_Odd_Even,PinSocket_2x13_P2.54mm_Vertical,217.555,-116.27,270.0,bottom
J4,FM,SMA_Amphenol_901-144_Vertical,270.275,-196.12,180.0,bottom
J5,AM,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,258.075,-196.645,180.0,bottom
J6,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_G-Switch_GT-USB-7051x,283.1,-196.12,180.0,bottom
L1,100uH,L_12x12mm_H8mm,158.31,-182.31,0.0,top
L2,100uH,L_12x12mm_H8mm,132.5105,-160.91,-90.0,top
LS1,Speaker,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,186.19,-204.095,0.0,top
LS2,Speaker,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,194.59,-204.095,0.0,top
N1,IN-6,IN-6,175.1249,-80.4,0.0,top
N2,IN-6,IN-6,175.1249,-90.4,0.0,top
N3,IN-6,IN-6,235.1249,-80.4,0.0,top
N4,IN-6,IN-6,235.1249,-90.4,0.0,top
NX1,IN-12A,IN-12-DSUB-NOHOLE,132.625,-85.4,0.0,top
NX2,IN-12A,IN-12-DSUB-NOHOLE,157.625,-85.4,0.0,top
NX3,IN-12A,IN-12-DSUB-NOHOLE,192.625,-85.4,0.0,top
NX4,IN-12A,IN-12-DSUB-NOHOLE,217.625,-85.4,0.0,top
NX5,IN-12A,IN-12-DSUB-NOHOLE,252.625,-85.4,0.0,top
NX6,IN-12A,IN-12-DSUB-NOHOLE,277.625,-85.4,0.0,top
Q1,SS8050,SOT-23,260.1475,-173.455,90.0,top
Q10,MPSA42/PMBTA42,SOT-23,213.7,-106.8,270.0,top
Q11,MPSA92/PMBTA92,SOT-23,223.925,-103.7,270.0,top
Q12,MPSA42/PMBTA42,SOT-23,248.7,-106.8,270.0,top
Q13,MPSA92/PMBTA92,SOT-23,258.925,-103.7,270.0,top
Q14,MPSA42/PMBTA42,SOT-23,273.7,-106.8,270.0,top
Q15,MPSA92/PMBTA92,SOT-23,283.925,-103.7,270.0,top
Q16,MPSA42/PMBTA42,SOT-23,179.925,-79.45,270.0,top
Q17,MPSA42/PMBTA42,SOT-23,179.925,-89.45,270.0,top
Q18,MPSA42/PMBTA42,SOT-23,239.925,-79.45,270.0,top
Q19,MPSA42/PMBTA42,SOT-23,239.925,-89.45,270.0,top
